
=== SAN SANG — DO TRONG 30 GIAY ===
Pressure(Pa),Raw(m),Kalman(m),State
26.81s,100841.73,0.797,0.783,1.00
26.86s,100841.50,0.815,0.787,1.00
26.91s,100841.50,0.815,0.791,1.00
26.96s,100840.88,0.868,0.801,1.00
27.01s,100840.14,0.929,0.818,1.00
27.06s,100839.46,0.984,0.840,1.00
27.11s,100840.38,0.907,0.849,1.00
27.16s,100839.63,0.971,0.865,1.00
27.21s,100840.21,0.923,0.872,1.00
27.26s,100840.14,0.929,0.880,1.00
27.31s,100840.82,0.870,0.879,1.00
27.36s,100840.99,0.857,0.876,1.00
27.41s,100841.50,0.815,0.868,1.00
27.46s,100841.89,0.783,0.857,1.00
27.51s,100841.50,0.815,0.851,1.00
27.56s,100841.33,0.815,0.846,1.00
27.61s,100841.33,0.828,0.844,1.00
27.66s,100841.39,0.823,0.841,1.00
27.71s,100840.88,0.868,0.845,1.00
27.76s,100840.71,0.881,0.850,1.00
27.81s,100840.55,0.894,0.855,1.00
27.86s,100840.88,0.868,0.857,1.00
27.91s,100840.38,0.907,0.864,1.00
27.96s,100840.40,0.907,0.869,1.00
28.01s,100840.57,0.892,0.872,1.00
28.06s,100840.07,0.934,0.881,1.00
28.11s,100840.13,0.929,0.887,1.00
28.16s,100839.72,0.963,0.897,1.00
28.21s,100840.80,0.873,0.894,1.00
28.26s,100840.57,0.892,0.893,1.00
28.31s,100840.57,0.892,0.893,1.00
28.36s,100840.80,0.873,0.891,1.00
28.41s,100840.57,0.892,0.891,1.00
28.46s,100840.40,0.907,0.893,1.00
28.51s,100840.07,0.934,0.898,1.00
28.56s,100840.07,0.934,0.903,1.00
28.61s,100840.07,0.934,0.907,1.00
28.66s,100840.07,0.934,0.911,1.00
28.71s,100839.89,0.950,0.916,1.00
28.76s,100839.55,0.979,0.924,1.00
28.81s,100839.69,0.966,0.930,1.00
28.86s,100840.03,0.937,0.930,1.00
28.91s,100840.71,0.881,0.924,1.00
28.96s,100841.76,0.794,0.907,1.00
29.01s,100842.07,0.767,0.888,1.00
29.06s,100841.89,0.783,0.875,1.00
29.11s,100841.57,0.810,0.866,1.00
29.16s,100841.39,0.823,0.860,1.00
29.21s,100840.88,0.868,0.861,1.00
29.26s,100840.57,0.892,0.865,1.00
29.31s,100840.40,0.907,0.871,1.00
29.36s,100840.07,0.934,0.879,1.00
29.42s,100839.55,0.944,0.888,1.00
29.46s,100839.55,0.979,0.900,1.00
29.51s,100839.78,0.958,0.907,1.00
29.56s,100839.78,0.987,0.918,1.00
29.61s,100839.44,0.987,0.927,1.00
29.67s,100839.27,1.003,0.937,1.00
29.71s,100838.94,1.029,0.949,1.00
29.76s,100839.27,1.003,0.956,1.00
29.81s,100839.96,0.944,0.955,1.00
29.86s,100839.89,0.950,0.954,1.00
29.92s,100840.13,0.929,0.951,1.00
29.96s,100839.78,0.958,0.952,1.00

